id	Protein.IDs	Majority.protein.IDs	Ratio.H.L.normalized.SNA vs Sham_Rep1	Ratio.H.L.variability.....SNA vs Sham_Rep1	Ratio.H.L.normalized.SNA vs Sham_Rep2	Ratio.H.L.variability.....SNA vs Sham_Rep2	Ratio.H.L.normalized.SNA vs Sham_Rep3	Ratio.H.L.variability.....SNA vs Sham_Rep3	Ratio.H.L.normalized.DCA vs Lam_Rep1	Ratio.H.L.variability.....DCA vs Lam_Rep1	Ratio.H.L.normalized.DCA vs Lam_Rep2	Ratio.H.L.variability.....DCA vs Lam_Rep2	Ratio.H.L.normalized.DCA vs Lam_Rep3	Ratio.H.L.normalized.Central vs Peripheral_Rep1	Ratio.H.L.variability.....Central vs Peripheral_Rep1	Ratio.H.L.normalized.Central vs Peripheral_Rep2	Ratio.H.L.variability.....Central vs Peripheral_Rep2	Ratio.H.L.normalized.Central vs Peripheral_Rep3	Ratio.H.L.variability.....Central vs Peripheral_Rep3	Intensity.L.SNA vs Sham_Rep1	Intensity.H.SNA vs Sham_Rep1	Intensity.L.SNA vs Sham_Rep2	Intensity.H.SNA vs Sham_Rep2	Intensity.L.SNA vs Sham_Rep3	Intensity.H.SNA vs Sham_Rep3	Intensity.L.DCA vs Lam_Rep1	Intensity.H.DCA vs Lam_Rep1	Intensity.L.DCA vs Lam_Rep2	Intensity.H.DCA vs Lam_Rep2	Intensity.L.DCA vs Lam_Rep3	Intensity.H.DCA vs Lam_Rep3	Intensity.L.Central vs Peripheral_Rep1	Intensity.H.Central vs Peripheral_Rep1	Intensity.L.Central vs Peripheral_Rep2	Intensity.H.Central vs Peripheral_Rep2	Intensity.L.Central vs Peripheral_Rep3	Intensity.H.Central vs Peripheral_Rep3	Description	external_gene_names	label	Log2.Ratio.H.L.normalized.SNA vs Sham_Rep1	Log2.Ratio.H.L.normalized.SNA vs Sham_Rep2	Log2.Ratio.H.L.normalized.SNA vs Sham_Rep3	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep1	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep2	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep3	Log2.Ratio.H.L.normalized.Central vs Peripheral_Rep1	Log2.Ratio.H.L.normalized.Central vs Peripheral_Rep2	Log2.Ratio.H.L.normalized.Central vs Peripheral_Rep3
588	ENSMUSP00000019625	ENSMUSP00000019625	0.93727	5.6722	1.7034	44.728	0.52114	26.941	NA	NA	NA	NA	NA	NA	NA	0.15068	61.301	0.17027	67.332	81220000	90161000	56422000	169710000	316300000	134140000	0	0	0	0	0	0	0	0	172070000	14686000	205270000	20102000	"myosin, heavy polypeptide 8, skeletal muscle, perinatal [Source:MGI Symbol;Acc:MGI:1339712]"	Myh8	Myh8	-0.093463389	0.768417255	-0.940257102	NA	NA	NA	NA	-2.730440156	-2.554103827
589	ENSMUSP00000019631;ENSMUSP00000124439;ENSMUSP00000124947	ENSMUSP00000019631	0.88654	22.995	1.4184	28.619	1.0812	27.085	2.9129	2.1012	0.99793	29.049	0.96627	1.1357	7.9574	1.0918	23.281	1.0943	7.2427	924830000	721810000	223260000	457330000	766050000	602630000	3661600	13315000	214430000	341440000	267530000	186870000	43896000	34851000	512830000	406300000	413350000	332100000	thyroid hormone receptor interactor 10 [Source:MGI Symbol;Acc:MGI:2146901];formin binding protein 1-like [Source:MGI Symbol;Acc:MGI:1925642];formin binding protein 1-like [Source:MGI Symbol;Acc:MGI:1925642]	Trip10;Fnbp1l;Fnbp1l	Trip10	-0.173742369	0.504264441	0.112633417	1.542456175	-0.002989474	-0.049501724	0.183581791	0.126708602	0.130008304
590	ENSMUSP00000106576;ENSMUSP00000019638;ENSMUSP00000121554	ENSMUSP00000106576;ENSMUSP00000019638	1.1841	24.608	1.3806	7.5436	1.1799	18.945	0.67074	12.834	1.0702	9.1629	1.0704	7.3489	244.92	0.80231	282.62	0.65693	281.35	1026400000	1404100000	203850000	509930000	1016600000	1119300000	535520000	359650000	361480000	649630000	650300000	427250000	385440000	274110000	764710000	419380000	627780000	389780000	"COP9 (constitutive photomorphogenic) homolog, subunit 6 (Arabidopsis thaliana) [Source:MGI Symbol;Acc:MGI:1349439];COP9 (constitutive photomorphogenic) homolog, subunit 6 (Arabidopsis thaliana) [Source:MGI Symbol;Acc:MGI:1349439];COP9 (constitutive photomorphogenic) homolog, subunit 6 (Arabidopsis thaliana) [Source:MGI Symbol;Acc:MGI:1349439]"	Cops6;Cops6;Cops6	Cops6	0.243790925	0.465295389	0.238664592	-0.576174454	0.097880434	0.098150021	2.87752832	-0.317768316	-0.606188444
592	ENSMUSP00000019679;ENSMUSP00000116811	ENSMUSP00000019679	1.0789	17.786	1.3943	22.188	0.84826	13.643	NA	NA	1.7955	30.947	0.82998	0.38189	11.665	0.12373	299.62	0.28668	22.638	160260000	184710000	103820000	263410000	217860000	197070000	0	0	14454000	25771000	92161000	53122000	84556000	14266000	278520000	69711000	269540000	82128000	armadillo repeat containing 6 [Source:MGI Symbol;Acc:MGI:1924063];armadillo repeat containing 6 [Source:MGI Symbol;Acc:MGI:1924063]	Armc6;Armc6	Armc6	0.109561152	0.479541007	-0.237421562	NA	0.844385653	-0.268851523	-1.388770952	-3.014732751	-1.802486835
593	ENSMUSP00000122851;ENSMUSP00000116952;ENSMUSP00000112739;ENSMUSP00000019683;ENSMUSP00000123379	ENSMUSP00000122851;ENSMUSP00000116952;ENSMUSP00000112739;ENSMUSP00000019683	NA	NA	NA	NA	1.2803	21.93	NA	NA	NA	NA	1.2127	NA	NA	0.76218	16.529	NA	NA	14271000	7203600	9071400	22733000	146310000	156710000	909960	13399000	0	0	44749000	19531000	23439000	2564200	22945000	12760000	0	0	"reticulocalbin 3, EF-hand calcium binding domain [Source:MGI Symbol;Acc:MGI:1277122]"	Rcn3	Rcn3	NA	NA	0.356481902	NA	NA	0.278222698	NA	-0.391796343	NA
594	ENSMUSP00000019722;ENSMUSP00000120423	ENSMUSP00000019722	0.87834	15.813	0.89685	17.298	0.99809	21.371	NA	NA	0.95662	83.734	0.90451	1.1009	8.4334	0.9567	46.38	1.0631	14.103	296940000	272570000	189570000	381510000	197280000	214800000	12429000	13357000	61192000	111400000	137190000	72165000	74334000	43558000	338030000	221080000	321250000	227470000	UBX domain protein 6 [Source:MGI Symbol;Acc:MGI:1913780];UBX domain protein 6 [Source:MGI Symbol;Acc:MGI:1913780]	Ubxn6;Ubxn6	Ubxn6	-0.187148589	-0.157061383	-0.002758182	NA	-0.063982141	-0.144791642	0.138683428	-0.063861497	0.08827731
595	ENSMUSP00000019723	ENSMUSP00000019723	NA	NA	NA	NA	NA	NA	NA	NA	1.5417	7.3736	1.4353	NA	NA	NA	NA	NA	NA	8819400	13254000	6004000	15288000	19164000	21461000	2774200	1348300	26011000	57641000	36520000	37301000	3535200	3102100	0	0	1287900	6536500	myeloid derived growth factor [Source:MGI Symbol;Acc:MGI:2156020]	Mydgf	Mydgf	NA	NA	NA	NA	0.624522058	0.521352314	NA	NA	NA
596	ENSMUSP00000019726	ENSMUSP00000019726	0.89068	13.407	0.86159	9.6386	0.89655	11.555	NA	NA	1.1785	20.296	1.877	0.25913	144.75	0.2517	121.08	0.14654	174.02	1158100000	1.20E+09	535510000	841340000	1405100000	1082900000	7192800	8286100	178390000	298170000	222570000	201860000	765270000	152850000	1223100000	287530000	924900000	317450000	perilipin 3 [Source:MGI Symbol;Acc:MGI:1914155]	Plin3	Plin3	-0.167020896	-0.214926589	-0.157544051	NA	0.236951759	0.90842865	-1.948252046	-1.990222878	-2.770633574
597	ENSMUSP00000019843;ENSMUSP00000106790;ENSMUSP00000106789	ENSMUSP00000019843;ENSMUSP00000106790;ENSMUSP00000106789	NA	NA	1.0061	24.895	0.71159	11.523	NA	NA	NA	NA	NA	NA	NA	0.40601	33.258	1.2305	61.831	0	0	41584000	71016000	91119000	63250000	0	0	0	0	22413000	9475500	31881000	7397500	128910000	39239000	57490000	51637000	thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147];thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147];thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147]	Akt3;Akt3;Akt3	Akt3	NA	0.008773707	-0.490881858	NA	NA	NA	NA	-1.300412834	0.299244658
598	ENSMUSP00000019862	ENSMUSP00000019862	1.2764	25.186	0.96393	26.173	0.78292	7.6287	NA	NA	NA	NA	NA	NA	NA	0.50101	48.129	NA	NA	70497000	74078000	7012500	14053000	60739000	46440000	0	0	0	0	0	0	19298000	0	26489000	5831700	0	0	L-3-hydroxyproline dehydratase (trans-) [Source:MGI Symbol;Acc:MGI:1914467]	L3hypdh	L3hypdh	0.352080514	-0.052999712	-0.353063197	NA	NA	NA	NA	-0.997088695	NA
599	ENSMUSP00000019911;ENSMUSP00000101149	ENSMUSP00000019911;ENSMUSP00000101149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9039	11.217	NA	NA	0	0	0	0	0	0	0	0	0	0	6953300	7292900	3180000	9237500	25495000	30010000	0	0	histone deacetylase 2 [Source:MGI Symbol;Acc:MGI:1097691];histone deacetylase 2 [Source:MGI Symbol;Acc:MGI:1097691]	Hdac2;Hdac2	Hdac2	NA	NA	NA	NA	NA	NA	NA	0.928957705	NA
600	ENSMUSP00000019917	ENSMUSP00000019917	NA	NA	1.3257	10.699	0.79402	18.765	NA	NA	0.9248	19.909	1.0758	0.6255	8.6615	1.8418	31.611	1.0067	250.88	0	0	24252000	56763000	140510000	89282000	16924000	8266100	19093000	28673000	28184000	13961000	80019000	31935000	30230000	33921000	28120000	23713000	RWD domain containing 1 [Source:MGI Symbol;Acc:MGI:1913771]	Rwdd1	Rwdd1	NA	0.406754337	-0.332752748	NA	-0.112786697	0.105409894	-0.67691821	0.881116409	0.009633819
601	ENSMUSP00000019939;ENSMUSP00000101138;ENSMUSP00000101139	ENSMUSP00000019939;ENSMUSP00000101138;ENSMUSP00000101139	0.92859	15.858	1.3543	14.866	1.2755	11.145	0.97822	12.504	0.88462	11.438	1.0497	1.6221	35.466	1.5932	22.772	1.5383	40.805	1636400000	1983600000	576040000	1805500000	1251100000	1787500000	396080000	328610000	922060000	1173500000	1414300000	1123100000	566380000	541390000	1339800000	1550200000	1097300000	1389300000	sorting nexin 3 [Source:MGI Symbol;Acc:MGI:1860188];sorting nexin 3 [Source:MGI Symbol;Acc:MGI:1860188];sorting nexin 3 [Source:MGI Symbol;Acc:MGI:1860188]	Snx3;Snx3;Snx3	Snx3	-0.10688635	0.437547355	0.351062899	-0.031769134	-0.176870235	0.06997707	0.697862762	0.671927385	0.621336886
602	ENSMUSP00000113783;ENSMUSP00000019967;ENSMUSP00000097519;ENSMUSP00000114969	ENSMUSP00000113783;ENSMUSP00000019967;ENSMUSP00000097519;ENSMUSP00000114969	0.87451	31.295	0.81321	51.899	0.69314	12.878	NA	NA	1.0597	7.2534	1.3491	0.30912	2.9191	0.5537	37.746	0.8644	81.246	588390000	518310000	318660000	461360000	871630000	497420000	0	0	29286000	29223000	70974000	88846000	23222000	6228000	138960000	87076000	275710000	140160000	"microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:MGI Symbol;Acc:MGI:2385847];microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:MGI Symbol;Acc:MGI:2385847];microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:MGI Symbol;Acc:MGI:2385847];microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:MGI Symbol;Acc:MGI:2385847]"	Mical1;Mical1;Mical1;Mical1	Mical1	-0.193453213	-0.298300139	-0.528781318	NA	0.083655897	0.43199729	-1.693761096	-0.852823573	-0.210229023
603	ENSMUSP00000019974	ENSMUSP00000019974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8629400	0	0	0	"RAB32, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1915094]"	Rab32	Rab32	NA	NA	NA	NA	NA	NA	NA	NA	NA
604	ENSMUSP00000101148;ENSMUSP00000019975	ENSMUSP00000101148;ENSMUSP00000019975	0.93417	68.781	NA	NA	NA	NA	NA	NA	3.126	177.17	0.89855	NA	NA	NA	NA	NA	NA	61104000	53118000	20340000	19314000	20586000	21479000	0	0	7628900	15999000	48472000	26251000	0	0	8990000	3435200	9743900	11094000	"WAS protein family, member 1 [Source:MGI Symbol;Acc:MGI:1890563];WAS protein family, member 1 [Source:MGI Symbol;Acc:MGI:1890563]"	Wasf1;Wasf1	Wasf1	-0.09824298	NA	NA	NA	1.644317778	-0.15432931	NA	NA	NA
605	ENSMUSP00000019992	ENSMUSP00000019992	1.112	16.188	1.169	40.268	1.1241	35.705	1.0026	19.115	0.88568	12.206	0.94475	0.85418	20.037	0.86282	25.94	0.68243	29.717	2.53E+10	2.99E+10	1.05E+10	3.12E+10	2.34E+10	3.12E+10	2717300000	2455200000	5382900000	6379700000	7056400000	5048200000	6249600000	4542300000	7894200000	7932800000	1.30E+10	8444700000	"laminin, alpha 4 [Source:MGI Symbol;Acc:MGI:109321]"	Lama4	Lama4	0.153156788	0.22527493	0.168770384	0.003746139	-0.175142554	-0.081995481	-0.227387976	-0.212868477	-0.551247025
606	ENSMUSP00000019999;REV__ENSMUSP00000025847	ENSMUSP00000019999	0.8308	19.515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32448000	25435000	6436400	7999700	0	0	0	0	0	0	0	0	0	0	0	0	7424800	0	ARFGEF family member 3 [Source:MGI Symbol;Acc:MGI:106387]	Arfgef3	Arfgef3	-0.267426879	NA	NA	NA	NA	NA	NA	NA	NA
607	ENSMUSP00000020000	ENSMUSP00000020000	1.5455	7.3076	1.2434	22.54	0.9224	5.0849	0.77324	33.593	0.84938	25.071	0.84465	0.19856	76.095	0.13805	127.55	0.18978	190.93	176600000	354090000	71737000	248460000	219730000	234340000	24995000	19407000	42743000	48158000	91689000	65567000	150150000	32811000	133620000	25382000	72652000	18328000	heme binding protein 2 [Source:MGI Symbol;Acc:MGI:1860084]	Hebp2	Hebp2	0.628073654	0.314290484	-0.116535582	-0.371011824	-0.235517956	-0.243574443	-2.332353074	-2.856737207	-2.397600133
609	ENSMUSP00000020008;ENSMUSP00000101115	ENSMUSP00000020008;ENSMUSP00000101115	NA	NA	NA	NA	1.4486	27.752	NA	NA	NA	NA	NA	NA	NA	0.674	21.64	0.97665	23.587	5223900	6338900	0	0	77305000	77493000	0	0	1314400	1823400	857180	458950	0	0	42097000	23335000	52731000	37163000	golgi associated PDZ and coiled-coil motif containing [Source:MGI Symbol;Acc:MGI:2149946];golgi associated PDZ and coiled-coil motif containing [Source:MGI Symbol;Acc:MGI:2149946]	Gopc;Gopc	Gopc	NA	NA	0.53465928	NA	NA	NA	NA	-0.569179503	-0.034086456
610	ENSMUSP00000020024;ENSMUSP00000131415	ENSMUSP00000020024;ENSMUSP00000131415	0.49725	22.985	0.39218	9.5466	0.41863	25.93	NA	NA	1.2582	38.304	1.3464	NA	NA	1.6649	38.148	1.3007	4.8522	158860000	89527000	52743000	51458000	126460000	78273000	33343000	16841000	89966000	166710000	108740000	102980000	30731000	9398700	153800000	231570000	173460000	173420000	"fatty acid binding protein 7, brain [Source:MGI Symbol;Acc:MGI:101916];fatty acid binding protein 7, brain [Source:MGI Symbol;Acc:MGI:101916]"	Fabp7;Fabp7	Fabp7	-1.007956724	-1.350412131	-1.256252393	NA	0.331361267	0.429107082	NA	0.735435526	0.37928825
611	ENSMUSP00000125553;ENSMUSP00000020034;ENSMUSP00000125048	ENSMUSP00000125553;ENSMUSP00000020034;ENSMUSP00000125048	1.2221	6.7332	0.90604	16.585	0.78528	8.6694	NA	NA	0.41801	108.5	1.0505	0.44489	26.338	0.070641	194.88	0.74764	261.23	328700000	401490000	138070000	237230000	592580000	410570000	10497000	11051000	27074000	23805000	109560000	61240000	316590000	88062000	205250000	11023000	360830000	63074000	enoyl Coenzyme A hydratase domain containing 1 [Source:MGI Symbol;Acc:MGI:1277169];enoyl Coenzyme A hydratase domain containing 1 [Source:MGI Symbol;Acc:MGI:1277169];enoyl Coenzyme A hydratase domain containing 1 [Source:MGI Symbol;Acc:MGI:1277169]	Echdc1;Echdc1;Echdc1	Echdc1	0.28936234	-0.142353351	-0.348720941	NA	-1.258390639	0.071076162	-1.168479424	-3.823350424	-0.419584337
613	ENSMUSP00000020078;ENSMUSP00000101108	ENSMUSP00000020078;ENSMUSP00000101108	NA	NA	NA	NA	NA	NA	NA	NA	1.2257	3.127	1.1507	NA	NA	0.14424	345.08	NA	NA	70943000	58129000	5521000	25117000	52538000	65741000	2094500	2088600	149830000	273660000	68049000	39986000	0	0	211030000	76649000	77081000	5881600	LIM and senescent cell antigen-like domains 1 [Source:MGI Symbol;Acc:MGI:1195263];LIM and senescent cell antigen-like domains 1 [Source:MGI Symbol;Acc:MGI:1195263]	Lims1;Lims1	Lims1	NA	NA	NA	NA	0.293605911	0.202511756	NA	-2.793456793	NA
615	ENSMUSP00000020107;ENSMUSP00000033744;ENSMUSP00000138165;ENSMUSP00000110123;ENSMUSP00000098606;ENSMUSP00000086398;ENSMUSP00000085775;ENSMUSP00000098605	ENSMUSP00000020107	NA	NA	0.97569	7.552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	19984000	32638000	0	0	0	0	0	0	0	0	0	0	0	0	37526000	58479000	"ATPase, Ca++ transporting, plasma membrane 1 [Source:MGI Symbol;Acc:MGI:104653];ATPase, Ca++ transporting, plasma membrane 3 [Source:MGI Symbol;Acc:MGI:1347353];ATPase, Ca++ transporting, plasma membrane 3 [Source:MGI Symbol;Acc:MGI:1347353];ATPase, Ca++ transporting, plasma membrane 2 [Source:MGI Symbol;Acc:MGI:105368];ATPase, Ca++ transporting, plasma membrane 2 [Source:MGI Symbol;Acc:MGI:105368];ATPase, Ca++ transporting, plasma membrane 2 [Source:MGI Symbol;Acc:MGI:105368];ATPase, Ca++ transporting, plasma membrane 3 [Source:MGI Symbol;Acc:MGI:1347353];ATPase, Ca++ transporting, plasma membrane 2 [Source:MGI Symbol;Acc:MGI:105368]"	Atp2b1;Atp2b3;Atp2b3;Atp2b2;Atp2b2;Atp2b2;Atp2b3;Atp2b2	Atp2b1	NA	-0.035505253	NA	NA	NA	NA	NA	NA	NA
618	ENSMUSP00000020153;ENSMUSP00000135902;ENSMUSP00000090344	ENSMUSP00000020153	0.84454	14.85	0.46756	60.37	0.9156	21.228	NA	NA	1.1118	8.1848	2.0982	NA	NA	1.2851	14.273	1.1899	9.5318	65032000	51009000	61874000	58115000	68472000	70435000	7520200	11083000	23579000	51252000	49724000	49312000	15302000	12278000	156230000	164710000	37596000	28735000	Hbs1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1891704];Hbs1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1891704];predicted pseudogene 9923 [Source:MGI Symbol;Acc:MGI:3704365]	Hbs1l;Hbs1l;Gm9923	Hbs1l	-0.24376234	-1.096776583	-0.127210632	NA	0.152897287	1.069152202	NA	0.361880627	0.250840334
619	ENSMUSP00000020161	ENSMUSP00000020161	4.968	18.212	3.1023	92.393	3.7516	15.163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136820000	523930000	4610900	49130000	41110000	145330000	0	0	0	0	0	0	0	0	0	0	0	0	"arginase, liver [Source:MGI Symbol;Acc:MGI:88070]"	Arg1	Arg1	2.312665174	1.633338205	1.907506014	NA	NA	NA	NA	NA	NA
620	ENSMUSP00000111963;ENSMUSP00000020173	ENSMUSP00000111963;ENSMUSP00000020173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2417	27.926	NA	NA	0	0	0	0	0	0	0	0	192340	4395100	3986900	86154	0	0	2247100	6816100	5421800	4613900	microtubule-associated protein 7 [Source:MGI Symbol;Acc:MGI:1328328];microtubule-associated protein 7 [Source:MGI Symbol;Acc:MGI:1328328]	Map7;Map7	Map7	NA	NA	NA	NA	NA	NA	NA	0.312316654	NA
621	ENSMUSP00000020174	ENSMUSP00000020174	NA	NA	0.41599	168.96	2.0356	39.084	1.0751	34.694	1.0378	12.487	1.0154	NA	NA	2.3684	18.507	2.7947	29.03	18278000	23409000	5706000	6462700	28755000	41442000	17006000	15049000	32585000	45878000	33956000	22525000	6908400	6927100	25110000	38026000	5261600	18044000	syntaxin 7 [Source:MGI Symbol;Acc:MGI:1858210]	Stx7	Stx7	NA	-1.265379247	1.025454096	0.104470858	0.053528441	0.022048165	NA	1.243912759	1.482693424
622	ENSMUSP00000020203	ENSMUSP00000020203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	9965000	43530000	46516000	48950000	0	0	16245000	40571000	0	0	0	0	0	0	34477000	22192000	small nuclear ribonucleoprotein polypeptide F [Source:MGI Symbol;Acc:MGI:1917128]	Snrpf	Snrpf	NA	NA	NA	NA	NA	NA	NA	NA	NA
624	ENSMUSP00000020217	ENSMUSP00000020217	0.71726	17.835	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.30099	26.988	NA	NA	0.34578	169.18	86442000	88837000	0	0	50753000	25138000	0	0	12175000	15120000	0	0	47973000	12183000	2515700	2617000	8601200	2039700	nudix (nucleoside diphosphate linked moiety X)-type motif 4 [Source:MGI Symbol;Acc:MGI:1918457]	Nudt4	Nudt4	-0.479431918	NA	NA	NA	NA	NA	-1.732212539	NA	-1.532073669
625	ENSMUSP00000020234;ENSMUSP00000133236	ENSMUSP00000020234	NA	NA	NA	NA	NA	NA	NA	NA	0.78221	6.3598	0.90637	NA	NA	NA	NA	NA	NA	0	0	7866800	8488000	0	0	5611000	2873600	37553000	45693000	26993000	19892000	0	0	0	0	13827000	11870000	tissue inhibitor of metalloproteinase 3 [Source:MGI Symbol;Acc:MGI:98754];tissue inhibitor of metalloproteinase 3 [Source:MGI Symbol;Acc:MGI:98754]	Timp3;Timp3	Timp3	NA	NA	NA	NA	-0.354372115	-0.141827985	NA	NA	NA
626	ENSMUSP00000020238;ENSMUSP00000122710	ENSMUSP00000020238;ENSMUSP00000122710	1.0817	9.0787	1.1987	48.713	1.3845	22.445	0.95717	17.924	1.5128	16.132	1.3135	2.1701	18.553	2.4112	20.161	1.8417	21.56	659170000	723020000	517880000	1189200000	975720000	1185900000	131970000	140970000	652690000	1494900000	1151400000	1.02E+09	155390000	218580000	897610000	1720200000	852150000	1124800000	"heat shock protein 90, beta (Grp94), member 1 [Source:MGI Symbol;Acc:MGI:98817];heat shock protein 90, beta (Grp94), member 1 [Source:MGI Symbol;Acc:MGI:98817]"	Hsp90b1;Hsp90b1	Hsp90b1	0.113300436	0.261470639	0.469365054	-0.063152915	0.597221268	0.3934162	1.117761525	1.269751322	0.881038076
627	ENSMUSP00000138310;ENSMUSP00000132246;ENSMUSP00000138540;ENSMUSP00000020248;ENSMUSP00000138261	ENSMUSP00000138310;ENSMUSP00000132246;ENSMUSP00000138540;ENSMUSP00000020248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	7675300	17390000	0	0	0	0	0	0	0	0	14054000	3231600	229950000	1052300	coiled-coil domain containing 53 [Source:MGI Symbol;Acc:MGI:1914532];coiled-coil domain containing 53 [Source:MGI Symbol;Acc:MGI:1914532];coiled-coil domain containing 53 [Source:MGI Symbol;Acc:MGI:1914532];coiled-coil domain containing 53 [Source:MGI Symbol;Acc:MGI:1914532];coiled-coil domain containing 53 [Source:MGI Symbol;Acc:MGI:1914532]	Ccdc53;Ccdc53;Ccdc53;Ccdc53;Ccdc53	Ccdc53	NA	NA	NA	NA	NA	NA	NA	NA	NA
628	ENSMUSP00000020258	ENSMUSP00000020258	0.97319	11.023	NA	NA	0.54159	11.003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37049000	38233000	0	0	37556000	19284000	0	0	0	0	0	0	0	0	0	0	0	0	hect domain and RLD 4 [Source:MGI Symbol;Acc:MGI:1914595]	Herc4	Herc4	-0.039206599	NA	-0.884726994	NA	NA	NA	NA	NA	NA
629	ENSMUSP00000112424;ENSMUSP00000020263;ENSMUSP00000118444;ENSMUSP00000113134	ENSMUSP00000112424;ENSMUSP00000020263	0.97342	32.364	1.1012	10.943	1.2502	14.166	0.85978	18.588	1.1605	6.4732	1.1767	8.3098	175.37	6.594	236.92	21.07	328.58	505290000	587590000	92133000	180640000	494950000	527790000	83732000	64079000	156010000	254070000	283990000	177640000	96373000	81978000	237080000	249920000	192290000	109660000	heterogeneous nuclear ribonucleoprotein H3 [Source:MGI Symbol;Acc:MGI:1926462];heterogeneous nuclear ribonucleoprotein H3 [Source:MGI Symbol;Acc:MGI:1926462];heterogeneous nuclear ribonucleoprotein H3 [Source:MGI Symbol;Acc:MGI:1926462];heterogeneous nuclear ribonucleoprotein H3 [Source:MGI Symbol;Acc:MGI:1926462]	Hnrnph3;Hnrnph3;Hnrnph3;Hnrnph3	Hnrnph3	-0.038865678	0.139076515	0.322158908	-0.217960544	0.214746523	0.234746552	3.054813755	2.721153887	4.397118409
631	ENSMUSP00000020285	ENSMUSP00000020285	0.97335	9.0988	1.0561	10.686	0.86476	14.402	NA	NA	NA	NA	NA	0.43564	27.993	0.51795	23.763	0.51544	30.892	84530000	123950000	30515000	111870000	121340000	117570000	36786000	20332000	3827600	4767000	39446000	33226000	200530000	47492000	151020000	61017000	93841000	50324000	SAR1 gene homolog A (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:98230]	Sar1a	Sar1a	-0.038969428	0.078746447	-0.209628303	NA	NA	NA	-1.198791668	-0.94911526	-0.956123595
632	ENSMUSP00000020286	ENSMUSP00000020286	1.7418	25.191	1.1444	16.536	0.95973	27.478	0.78842	24.903	0.98315	15.184	1.0836	0.5856	74.374	3.5409	33.743	1.9312	183.28	1587900000	2865200000	383260000	835590000	2312800000	1960200000	386700000	269280000	374560000	601100000	459840000	258140000	1048700000	301060000	1396700000	417960000	1166300000	374500000	pyrophosphatase (inorganic) 1 [Source:MGI Symbol;Acc:MGI:97831]	Ppa1	Ppa1	0.800578978	0.194591403	-0.059299504	-0.342963721	-0.024516548	0.115832299	-0.772012541	1.824116101	0.949497581
633	ENSMUSP00000020289	ENSMUSP00000020289	NA	NA	NA	NA	NA	NA	NA	NA	6.2479	112.48	NA	NA	NA	NA	NA	NA	NA	122550000	75231000	0	0	81642000	48510000	0	0	9721100	85135000	42810000	36577000	0	0	0	0	0	0				NA	NA	NA	NA	2.643371363	NA	NA	NA	NA
634	ENSMUSP00000020298	ENSMUSP00000020298	NA	NA	0.86971	60.487	1.0079	10.34	NA	NA	NA	NA	NA	0.13244	53.186	0.39359	36.832	0.27562	9.1167	47826000	78039000	111420000	196940000	114380000	140680000	0	0	0	0	0	0	25036000	3206400	123540000	31024000	67038000	13523000	pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 1 [Source:MGI Symbol;Acc:MGI:94873]	Pcbd1	Pcbd1	NA	-0.201393672	0.011352507	NA	NA	NA	-2.916589179	-1.345234529	-1.859247516
